ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
9,Ciudad de México,22,NO,Altamente Concentrado 1,376527,193742,182785,14855,7287,7568,110836,17162,8475,8687,38968,19141,19827,19959,9890,10069,7219,3509,3710,1409,655,754,1451,644,807,9812,5061,4751
9,Ciudad de México,23,NO,Altamente Concentrado 1,386927,204506,182421,9789,4741,5048,74212,11888,5815,6073,24411,12008,12403,13582,6667,6915,2534,1238,1296,1024,482,542,777,371,406,5873,3345,2528
9,Ciudad de México,24,NO,Altamente Concentrado 2,383400,202047,181353,9306,4659,4647,74909,11464,5655,5809,25228,12480,12748,14007,6789,7218,2683,1330,1353,1189,586,603,882,404,478,5709,3018,2691
9,Ciudad de México,3,NO,Altamente Concentrado 1,432205,227255,204950,11784,5702,6082,86717,14191,6954,7237,28721,14056,14665,15670,7691,7979,3278,1564,1714,1475,701,774,969,430,539,3208,1708,1500
9,Ciudad de México,4,NO,Altamente Concentrado 1,367231,186862,180369,11060,5378,5682,86872,13408,6714,6694,30330,14785,15545,15910,7938,7972,4281,2145,2136,1186,547,639,896,400,496,5196,2692,2504
9,Ciudad de México,5,NO,Concentrado 1,361414,187848,173566,10110,4989,5121,84189,12965,6445,6520,29452,14308,15144,15609,7707,7902,3491,1767,1724,1142,572,570,978,443,535,7762,4156,3606
9,Ciudad de México,6,NO,Altamente Concentrado 2,405335,213532,191803,11174,5648,5526,90122,13770,6773,6997,30777,15154,15623,16927,8431,8496,3723,1795,1928,1379,689,690,1051,478,573,5463,3361,2102
9,Ciudad de México,7,NO,Altamente Concentrado 1,382108,200716,181392,10581,5146,5435,81770,13137,6445,6692,27109,13192,13917,14859,7253,7606,3361,1645,1716,1304,599,705,993,422,571,2577,1355,1222
9,Ciudad de México,8,NO,Altamente Concentrado 1,328126,172989,155137,10070,5050,5020,72277,12007,5910,6097,24248,11886,12362,12897,6360,6537,3075,1519,1556,1255,621,634,981,443,538,4023,2138,1885
9,Ciudad de México,9,NO,Altamente Concentrado 2,393799,202809,190990,13271,6630,6641,103861,16225,7876,8349,36113,17619,18494,18917,9362,9555,5100,2429,2671,1571,747,824,1157,527,630,4822,2531,2291
10,Durango,1,NO,Muy Disperso 2,470881,238151,232730,27354,13430,13924,172282,30580,15037,15543,59290,29039,30251,28311,13970,14341,12426,6095,6331,2348,1112,1236,2558,1109,1449,42907,21856,21051
10,Durango,2,NO,Muy Disperso 1,462293,232557,229736,24770,12319,12451,151794,27627,13585,14042,50468,24648,25820,24677,12138,12539,11702,5765,5937,1834,862,972,2587,1133,1454,814,328,486
10,Durango,3,NO,Muy Disperso 1,428660,215675,212985,22159,10976,11183,142120,24375,11920,12455,48804,23956,24848,23667,11654,12013,10240,5023,5217,2041,925,1116,2428,1055,1373,434,200,234
10,Durango,4,NO,Concentrado 2,470816,241401,229415,21510,10479,11031,146150,25359,12439,12920,51058,24934,26124,23895,11719,12176,9539,4598,4941,1413,661,752,1489,606,883,3087,1416,1671
11,Guanajuato,1,NO,Disperso 2,382910,202039,180871,22913,11379,11534,140752,24327,12053,12274,46669,23055,23614,23369,11622,11747,8094,4025,4069,1608,767,841,2733,1145,1588,4821,2324,2497
